"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";
390;"/sa_do_20";2;1;9.12 mils;3921.96 mils;0.00 mils;3931.09 mils;
391;"/sa_do_17";2;1;52.25 mils;3832.53 mils;0.00 mils;3884.77 mils;
392;"/di_1";2;1;9.12 mils;3918.82 mils;0.00 mils;3927.94 mils;
393;"/bl_en";2;1;52.25 mils;3886.12 mils;0.00 mils;3938.37 mils;
394;"/sa_do_23";2;2;61.37 mils;3875.99 mils;0.00 mils;3937.36 mils;
395;"/sa_do_22";2;1;52.25 mils;3884.76 mils;0.00 mils;3937.01 mils;
396;"/sa_do_15";2;1;9.12 mils;3919.40 mils;0.00 mils;3928.52 mils;
397;"/bsl_dac_en";2;2;61.37 mils;3814.24 mils;0.00 mils;3875.61 mils;
398;"/bsl_dac_config_4";2;2;61.37 mils;3814.72 mils;0.00 mils;3876.09 mils;
399;"/sa_do_27";2;1;9.12 mils;3918.78 mils;0.00 mils;3927.90 mils;
400;"/bsl_dac_config_0";2;1;52.25 mils;3832.64 mils;0.00 mils;3884.89 mils;
401;"/sa_do_45";2;1;52.25 mils;3832.03 mils;0.00 mils;3884.28 mils;
402;"/sa_do_39";2;1;9.12 mils;3919.64 mils;0.00 mils;3928.77 mils;
403;"/read_dac_en";2;1;52.25 mils;3832.22 mils;0.00 mils;3884.46 mils;
404;"/sa_do_37";2;1;52.25 mils;3833.89 mils;0.00 mils;3886.13 mils;
405;"/sa_do_29";2;1;52.25 mils;3832.80 mils;0.00 mils;3885.05 mils;
406;"/sa_do_28";2;1;9.12 mils;3918.82 mils;0.00 mils;3927.95 mils;
407;"/sa_do_26";2;1;52.25 mils;3832.02 mils;0.00 mils;3884.27 mils;
408;"/sa_do_24";2;1;9.12 mils;3921.01 mils;0.00 mils;3930.13 mils;
409;"/sa_do_40";2;1;52.25 mils;3831.41 mils;0.00 mils;3883.66 mils;
410;"/di_34";2;1;52.25 mils;3833.37 mils;0.00 mils;3885.62 mils;
411;"/bsl_dac_config_3";2;1;9.12 mils;3917.14 mils;0.00 mils;3926.26 mils;
412;"/bsl_dac_config_1";2;1;52.25 mils;3886.71 mils;0.00 mils;3938.96 mils;
413;"/aclk";2;1;9.12 mils;3918.77 mils;0.00 mils;3927.90 mils;
414;"/rram_addr_13";2;1;52.25 mils;3833.37 mils;0.00 mils;3885.62 mils;
415;"/rram_addr_12";2;1;52.25 mils;3832.82 mils;0.00 mils;3885.07 mils;
416;"/wl_dac_config_7";2;1;52.25 mils;3832.69 mils;0.00 mils;3884.94 mils;
417;"/sa_do_5";2;1;9.12 mils;3928.63 mils;0.00 mils;3937.75 mils;
418;"/sa_do_14";2;1;9.12 mils;3918.85 mils;0.00 mils;3927.97 mils;
419;"/sa_do_25";2;1;52.25 mils;3834.39 mils;0.00 mils;3886.64 mils;
420;"/sa_do_34";2;1;9.12 mils;3918.79 mils;0.00 mils;3927.92 mils;
421;"/sa_do_47";2;1;52.25 mils;3832.57 mils;0.00 mils;3884.82 mils;
422;"/sa_do_46";2;1;9.12 mils;3918.78 mils;0.00 mils;3927.90 mils;
423;"/sl_en";2;1;52.25 mils;3834.20 mils;0.00 mils;3886.45 mils;
424;"/di_41";2;1;52.25 mils;3832.56 mils;0.00 mils;3884.81 mils;
425;"/rram_addr_14";2;1;52.25 mils;3861.77 mils;0.00 mils;3914.02 mils;
426;"/di_31";2;2;61.37 mils;3813.94 mils;0.00 mils;3875.31 mils;
427;"/wl_dac_config_4";2;1;9.12 mils;3919.58 mils;0.00 mils;3928.70 mils;
428;"/mclk_pause";2;1;52.25 mils;3835.44 mils;0.00 mils;3887.69 mils;
429;"/sa_do_33";2;1;9.12 mils;3918.74 mils;0.00 mils;3927.86 mils;
430;"/clamp_ref_0";2;1;52.25 mils;3832.57 mils;0.00 mils;3884.82 mils;
431;"/sa_do_35";2;1;52.25 mils;3832.54 mils;0.00 mils;3884.79 mils;
433;"/heartbeat";2;1;61.37 mils;1811.49 mils;0.00 mils;1872.86 mils;
458;"/sa_clk";2;1;52.25 mils;3832.51 mils;0.00 mils;3884.76 mils;
